resultId,raceId,driverId,fastestLap,fastestLapTime
184,26,12,21,01:33.2
185,26,21,21,01:34.9
186,26,16,5,01:38.2
189,27,1,17,01:16.0
190,27,12,66,01:16.9
191,27,13,19,01:16.5
192,27,2,52,01:16.0
193,27,5,63,01:16.5
194,27,8,66,01:16.3
195,27,9,17,01:16.6
196,27,20,20,01:16.8
197,27,15,17,01:17.0
198,27,3,34,01:17.4
199,27,4,17,01:17.1
200,27,7,63,01:17.0
201,27,14,18,01:17.0
202,27,6,23,01:17.7
203,27,16,66,01:17.9
204,27,21,67,01:18.2
205,27,18,56,01:17.6
206,27,22,30,01:18.0
207,27,17,20,01:17.2
208,27,10,24,01:16.7
209,28,5,19,01:21.8
210,28,10,42,01:21.7
211,28,8,61,01:21.2
212,28,4,47,01:21.8
213,28,1,15,01:21.5
214,28,12,64,01:21.5
215,28,15,65,01:21.6
216,28,9,70,01:21.9
217,28,17,67,01:22.1
218,28,2,67,01:22.2
219,28,14,67,01:22.7
220,28,18,63,01:22.4
221,28,6,67,01:23.3
222,28,3,57,01:22.4
223,28,21,68,01:22.6
224,28,22,65,01:22.4
225,28,13,16,01:21.4
226,28,7,29,01:23.2
227,28,16,29,01:23.7
228,28,20,17,01:24.2
229,29,13,36,01:38.7
230,29,1,16,01:38.9
231,29,9,38,01:39.3
232,29,5,19,01:39.1
233,29,15,37,01:39.7
234,29,20,36,01:39.5
235,29,10,54,01:39.5
236,29,3,35,01:39.6
237,29,2,57,01:39.5
238,29,7,35,01:39.6
239,29,12,29,01:39.5
240,29,17,27,01:40.3
241,29,18,21,01:40.8
242,29,21,54,01:40.4
243,29,6,56,01:39.8
244,29,22,56,01:40.6
245,29,14,13,01:41.0
246,29,8,34,01:39.4
247,29,16,28,01:40.7
249,30,13,26,01:48.2
250,30,2,36,01:49.1
251,30,1,20,01:48.1
252,30,4,25,01:49.2
253,30,20,16,01:49.1
254,30,9,36,01:49.0
255,30,7,31,01:49.0
256,30,17,34,01:49.5
257,30,10,37,01:50.3
258,30,5,35,01:48.2
259,30,14,19,01:50.2
260,30,3,32,01:50.7
261,30,16,27,01:50.5
262,30,6,35,01:51.0
263,30,18,19,01:50.7
264,30,15,32,01:50.5
